ma_tin,tinh_thanh,loai_bat_dong_san,dien_tich_m2,so_phong_ngu,huong_nha,thang_dang_tin,nam_dang_tin,gia_ban_ty_vnd
BDS_78,Hà Nội,Chung cư,328,4,Chính Nam,1,2024,17.97
BDS_79,Hà Nội,Biệt thự,49,3,Chính Nam,1,2025,13.48
BDS_80,Hà Nội,Biệt thự,237,5,Tây Nam,5,2024,58.83
BDS_81,Đà Nẵng,Đất nền,68,4,Chính Nam,4,2025,7.19
BDS_82,TP. Hồ Chí Minh,Nhà mặt phố,79,5,Tây Bắc,6,2024,10.24
BDS_83,Hà Nội,Biệt thự,121,5,Chính Nam,3,2024,19.8
BDS_84,Hà Nội,Chung cư,227,4,Chính Nam,4,2024,9.27
BDS_85,Hà Nội,Biệt thự,230,5,Chính Nam,2,2025,39.89
BDS_86,Hà Nội,Chung cư,205,4,Tây Bắc,2,2025,8.76
BDS_87,TP. Hồ Chí Minh,Đất nền,320,1,Đông Nam,9,2025,24.72
BDS_88,TP. Hồ Chí Minh,Nhà mặt phố,179,3,Tây Nam,9,2025,26.82
BDS_89,Thái Nguyên,Biệt thự,75,4,Tây Bắc,2,2025,5.28
BDS_90,TP. Hồ Chí Minh,Đất nền,118,4,Chính Đông,12,2025,8.07
BDS_91,Hà Nội,Đất nền,257,4,Tây Bắc,1,2025,29.21
BDS_92,TP. Hồ Chí Minh,Nhà mặt phố,292,5,Đông Nam,6,2024,29.85
BDS_93,TP. Hồ Chí Minh,Đất nền,44,1,Tây Nam,8,2024,5.3
BDS_94,TP. Hồ Chí Minh,Đất nền,194,1,Chính Nam,2,2024,17.29
BDS_95,TP. Hồ Chí Minh,Chung cư,103,2,Đông Nam,7,2025,8.76
BDS_96,TP. Hồ Chí Minh,Nhà mặt phố,345,1,Tây Nam,1,2026,63.19
BDS_97,TP. Hồ Chí Minh,Chung cư,138,2,Đông Nam,9,2024,9.85
BDS_98,TP. Hồ Chí Minh,Đất nền,298,3,Đông Nam,3,2025,31.89
BDS_99,Hà Nội,Chung cư,176,2,Chính Nam,10,2024,12.16
BDS_100,Hà Nội,Biệt thự,334,2,Tây Nam,3,2026,115.06
BDS_101,Hà Nội,Nhà mặt phố,308,1,Chính Nam,8,2025,55.13
BDS_102,TP. Hồ Chí Minh,Chung cư,84,2,Đông Nam,2,2026,6.41
BDS_103,Hà Nội,Biệt thự,39,1,Chính Nam,3,2025,6.58
BDS_104,TP. Hồ Chí Minh,Chung cư,213,4,Tây Bắc,7,2024,8.7
BDS_105,Thái Nguyên,Nhà mặt phố,145,1,Chính Nam,3,2026,11.73
BDS_106,Hà Nội,Đất nền,348,4,Tây Nam,9,2025,38.88
BDS_107,TP. Hồ Chí Minh,Chung cư,214,2,Tây Bắc,1,2024,10.97
BDS_108,TP. Hồ Chí Minh,Nhà mặt phố,75,2,Chính Đông,2,2025,7.93
BDS_109,Hà Nội,Đất nền,85,2,Tây Nam,3,2026,8.53
BDS_110,Hà Nội,Biệt thự,138,5,Chính Nam,1,2025,40.8
BDS_111,Hà Nội,Chung cư,303,3,Chính Nam,10,2025,15.97
BDS_112,Hà Nội,Chung cư,97,1,Chính Nam,5,2026,4.59
BDS_113,Bình Dương,Nhà mặt phố,344,3,Tây Bắc,1,2025,40.04
BDS_114,Đà Nẵng,Nhà mặt phố,161,2,Tây Bắc,4,2025,15.55
BDS_115,TP. Hồ Chí Minh,Nhà mặt phố,172,1,Chính Đông,3,2026,17.6
BDS_116,Đà Nẵng,Chung cư,188,1,Đông Nam,3,2026,9.96
BDS_117,Đà Nẵng,Nhà mặt phố,287,2,Tây Nam,4,2025,39.75
BDS_118,Hà Nội,Đất nền,233,3,Chính Nam,7,2025,25.98
BDS_119,Thái Nguyên,Chung cư,91,4,Tây Nam,5,2024,1.4
BDS_120,TP. Hồ Chí Minh,Chung cư,190,3,Tây Bắc,3,2026,12.37
BDS_121,Đà Nẵng,Nhà mặt phố,281,3,Chính Nam,7,2024,30.34
BDS_122,Thái Nguyên,Chung cư,177,4,Đông Nam,3,2026,4.5
BDS_123,Hà Nội,Nhà mặt phố,282,4,Chính Đông,5,2024,30.04
BDS_124,Hà Nội,Chung cư,53,4,Tây Nam,3,2026,4.02
BDS_125,Hà Nội,Chung cư,171,2,Đông Nam,2,2024,10.69
BDS_126,TP. Hồ Chí Minh,Nhà mặt phố,78,5,Chính Nam,8,2025,11.89
BDS_127,Đà Nẵng,Chung cư,130,2,Tây Nam,9,2024,4.76
BDS_128,Đà Nẵng,Đất nền,186,5,Tây Bắc,5,2025,9.94
BDS_129,Hà Nội,Biệt thự,178,3,Tây Nam,2,2025,25.01
BDS_130,TP. Hồ Chí Minh,Nhà mặt phố,317,3,Chính Nam,5,2025,63.14
BDS_131,TP. Hồ Chí Minh,Nhà mặt phố,216,3,Đông Nam,1,2025,33.99
BDS_132,Hà Nội,Chung cư,157,4,Chính Nam,3,2026,6.36
BDS_133,Hà Nội,Đất nền,82,1,Tây Bắc,3,2026,11.15
BDS_134,Hà Nội,Nhà mặt phố,116,1,Chính Nam,7,2025,18.01
BDS_135,Bình Dương,Chung cư,250,4,Tây Bắc,2,2025,12.46
BDS_136,Hà Nội,Chung cư,235,4,Tây Bắc,3,2026,14.34
BDS_137,TP. Hồ Chí Minh,Chung cư,92,3,Chính Nam,8,2025,3.99
BDS_138,TP. Hồ Chí Minh,Chung cư,228,5,Chính Đông,1,2024,11.72
BDS_139,Hà Nội,Nhà mặt phố,180,1,Tây Bắc,7,2025,27.04
BDS_140,Bình Dương,Biệt thự,110,2,Tây Nam,2,2025,9.96
BDS_141,Bình Dương,Đất nền,63,4,Chính Nam,3,2026,5.07
BDS_142,Hà Nội,Nhà mặt phố,253,2,Tây Nam,3,2026,33.16
BDS_143,TP. Hồ Chí Minh,Nhà mặt phố,71,4,Tây Bắc,3,2026,7.99
BDS_144,Hà Nội,Chung cư,266,1,Chính Nam,2,2025,11.41
BDS_145,Hà Nội,Nhà mặt phố,241,5,Chính Nam,5,2026,38.84
BDS_146,Hà Nội,Chung cư,229,1,Tây Bắc,2,2026,17.8
BDS_147,TP. Hồ Chí Minh,Chung cư,117,3,Đông Nam,8,2024,5.0
BDS_148,TP. Hồ Chí Minh,Nhà mặt phố,331,2,Chính Nam,10,2025,45.4
BDS_149,Hà Nội,Chung cư,312,3,Chính Nam,7,2025,17.54
BDS_150,Hà Nội,Chung cư,125,2,Tây Nam,1,2024,4.26
BDS_151,Thái Nguyên,Chung cư,164,1,Tây Bắc,6,2025,2.52
BDS_152,Hà Nội,Chung cư,41,4,Tây Bắc,8,2025,1.51
BDS_153,Hà Nội,Nhà mặt phố,141,2,Chính Đông,11,2025,23.67
BDS_154,TP. Hồ Chí Minh,Chung cư,164,3,Chính Nam,8,2024,8.18
BDS_155,Bình Dương,Chung cư,161,2,Chính Đông,6,2025,5.75
BDS_156,Hà Nội,Chung cư,75,2,Chính Nam,10,2025,5.79
BDS_157,TP. Hồ Chí Minh,Chung cư,218,5,Tây Nam,1,2024,16.51
BDS_158,TP. Hồ Chí Minh,Biệt thự,237,2,Chính Đông,3,2026,71.38
BDS_159,Hà Nội,Chung cư,69,2,Đông Nam,8,2025,4.42
BDS_160,TP. Hồ Chí Minh,Chung cư,319,2,Chính Nam,7,2025,27.1
BDS_161,Hà Nội,Nhà mặt phố,312,5,Chính Đông,3,2026,60.99
BDS_162,TP. Hồ Chí Minh,Chung cư,30,4,Chính Nam,9,2024,2.07
BDS_163,TP. Hồ Chí Minh,Nhà mặt phố,178,5,Tây Bắc,1,2024,15.14
BDS_164,TP. Hồ Chí Minh,Chung cư,317,2,Chính Nam,3,2026,14.34
BDS_165,Hà Nội,Biệt thự,232,5,Tây Bắc,8,2024,50.24
BDS_166,Đà Nẵng,Biệt thự,244,1,Chính Đông,2,2025,26.83
BDS_167,Hà Nội,Nhà mặt phố,217,1,Chính Nam,8,2024,36.33
BDS_168,Hà Nội,Đất nền,97,5,Tây Bắc,2,2024,10.48
BDS_169,Hà Nội,Nhà mặt phố,159,3,Tây Bắc,2,2025,25.14
BDS_170,TP. Hồ Chí Minh,Biệt thự,339,2,Chính Đông,6,2025,105.56
BDS_171,TP. Hồ Chí Minh,Nhà mặt phố,226,2,Tây Nam,4,2025,47.34
BDS_172,Hà Nội,Chung cư,167,2,Tây Bắc,11,2024,8.77
BDS_173,TP. Hồ Chí Minh,Chung cư,102,1,Tây Bắc,3,2025,3.63
BDS_174,Hà Nội,Chung cư,32,4,Đông Nam,5,2026,1.61
BDS_175,TP. Hồ Chí Minh,Nhà mặt phố,316,2,Chính Đông,3,2025,43.92
BDS_176,Hà Nội,Chung cư,128,1,Chính Đông,3,2026,9.59
BDS_177,TP. Hồ Chí Minh,Nhà mặt phố,164,2,Tây Bắc,9,2024,28.93
BDS_178,Hà Nội,Chung cư,301,5,Tây Nam,8,2024,9.63
BDS_179,Bình Dương,Đất nền,45,4,Đông Nam,1,2024,2.56
BDS_180,Hà Nội,Nhà mặt phố,132,1,Chính Nam,3,2024,13.47
BDS_181,Hà Nội,Nhà mặt phố,298,3,Tây Nam,3,2025,27.53
BDS_182,Hà Nội,Nhà mặt phố,265,1,Tây Nam,3,2026,39.95
BDS_183,Bình Dương,Đất nền,218,1,Chính Nam,1,2025,17.65
BDS_184,Đà Nẵng,Chung cư,241,4,Đông Nam,3,2026,14.96
BDS_185,Hà Nội,Chung cư,202,4,Tây Nam,4,2026,14.85
BDS_186,TP. Hồ Chí Minh,Đất nền,277,1,Tây Nam,12,2025,35.27
BDS_187,Đà Nẵng,Đất nền,225,4,Chính Đông,1,2024,14.9
BDS_188,TP. Hồ Chí Minh,Nhà mặt phố,181,4,Chính Nam,4,2025,31.56
BDS_189,TP. Hồ Chí Minh,Chung cư,253,5,Chính Nam,8,2025,19.5
BDS_190,Hà Nội,Chung cư,115,1,Đông Nam,9,2025,4.57
BDS_191,Hà Nội,Chung cư,217,1,Chính Đông,11,2024,13.86
BDS_192,Thái Nguyên,Biệt thự,155,1,Chính Nam,3,2026,16.17
BDS_193,Thái Nguyên,Chung cư,217,2,Tây Bắc,9,2024,3.86
BDS_194,TP. Hồ Chí Minh,Nhà mặt phố,290,2,Tây Bắc,8,2024,27.57
BDS_195,Hà Nội,Đất nền,150,2,Chính Đông,7,2025,20.09
BDS_196,Hà Nội,Chung cư,189,2,Chính Đông,11,2025,13.15
BDS_197,TP. Hồ Chí Minh,Chung cư,278,1,Đông Nam,1,2025,15.55
BDS_198,Thái Nguyên,Chung cư,117,5,Chính Đông,7,2025,2.43
BDS_199,Thái Nguyên,Nhà mặt phố,165,1,Đông Nam,9,2024,6.86
BDS_200,TP. Hồ Chí Minh,Chung cư,239,3,Đông Nam,11,2024,13.79
BDS_201,TP. Hồ Chí Minh,Chung cư,265,4,Chính Đông,6,2024,16.3
BDS_202,Hà Nội,Chung cư,102,1,Chính Đông,11,2025,3.45
BDS_203,Hà Nội,Chung cư,146,1,Đông Nam,3,2026,11.32
BDS_204,Thái Nguyên,Chung cư,228,5,Tây Bắc,4,2025,5.37
BDS_205,TP. Hồ Chí Minh,Chung cư,305,3,Tây Bắc,2,2026,13.76
BDS_206,Hà Nội,Chung cư,281,5,Tây Bắc,5,2024,12.35
BDS_207,Hà Nội,Đất nền,168,3,Tây Nam,5,2025,15.75
BDS_208,TP. Hồ Chí Minh,Chung cư,241,5,Tây Bắc,8,2025,14.83
BDS_209,Hà Nội,Nhà mặt phố,287,2,Chính Nam,4,2024,43.48
BDS_210,Hà Nội,Nhà mặt phố,126,4,Đông Nam,9,2025,10.95
BDS_211,TP. Hồ Chí Minh,Đất nền,188,4,Chính Nam,2,2025,11.93
BDS_212,TP. Hồ Chí Minh,Chung cư,256,2,Tây Bắc,12,2025,8.93
BDS_213,TP. Hồ Chí Minh,Chung cư,295,3,Tây Bắc,3,2026,23.92
BDS_214,Hà Nội,Đất nền,88,3,Chính Đông,5,2025,12.41
BDS_215,TP. Hồ Chí Minh,Đất nền,259,1,Chính Nam,1,2026,33.08
BDS_216,Hà Nội,Chung cư,143,1,Tây Bắc,2,2025,10.8
BDS_217,Hà Nội,Chung cư,164,4,Đông Nam,2,2024,6.38
BDS_218,TP. Hồ Chí Minh,Đất nền,322,5,Tây Bắc,3,2026,44.66
BDS_219,TP. Hồ Chí Minh,Chung cư,298,3,Chính Đông,8,2024,13.73
BDS_220,Đà Nẵng,Đất nền,32,3,Tây Nam,6,2025,1.66
BDS_221,TP. Hồ Chí Minh,Biệt thự,324,4,Chính Nam,11,2024,75.82
BDS_222,TP. Hồ Chí Minh,Chung cư,308,5,Tây Bắc,1,2025,16.85
BDS_223,Hà Nội,Đất nền,49,3,Đông Nam,8,2025,6.32
BDS_224,Hà Nội,Nhà mặt phố,319,3,Đông Nam,3,2025,33.02
BDS_225,Hà Nội,Đất nền,289,4,Tây Nam,3,2026,29.6
BDS_226,Hà Nội,Nhà mặt phố,138,4,Tây Nam,5,2024,17.74
BDS_227,Bình Dương,Chung cư,199,3,Đông Nam,9,2025,9.53
BDS_228,Hà Nội,Đất nền,337,3,Tây Bắc,10,2024,27.47
BDS_229,Thái Nguyên,Chung cư,158,5,Tây Bắc,4,2025,4.05
BDS_230,TP. Hồ Chí Minh,Biệt thự,116,2,Tây Nam,3,2025,20.7
BDS_231,TP. Hồ Chí Minh,Nhà mặt phố,259,3,Đông Nam,1,2024,39.65
BDS_232,TP. Hồ Chí Minh,Chung cư,203,4,Chính Nam,3,2026,11.16
BDS_233,TP. Hồ Chí Minh,Chung cư,188,1,Tây Bắc,12,2024,8.91
BDS_234,TP. Hồ Chí Minh,Đất nền,95,2,Chính Đông,4,2025,13.24
BDS_235,Hà Nội,Chung cư,283,1,Tây Bắc,3,2026,20.59
BDS_236,TP. Hồ Chí Minh,Đất nền,178,2,Tây Bắc,12,2024,17.52
BDS_237,Hà Nội,Chung cư,223,1,Tây Nam,7,2025,11.18
BDS_238,Hà Nội,Nhà mặt phố,337,4,Chính Nam,7,2025,68.06
BDS_239,TP. Hồ Chí Minh,Đất nền,321,3,Chính Đông,12,2024,35.03
BDS_240,Hà Nội,Chung cư,130,1,Tây Nam,2,2026,10.05
BDS_241,Bình Dương,Chung cư,45,4,Tây Bắc,5,2026,1.8
BDS_242,Bình Dương,Biệt thự,245,2,Đông Nam,12,2024,35.74
BDS_243,Thái Nguyên,Nhà mặt phố,245,4,Chính Nam,5,2024,10.9
BDS_244,Hà Nội,Đất nền,68,4,Đông Nam,3,2025,9.89
BDS_245,Hà Nội,Đất nền,40,2,Chính Đông,8,2024,3.65
BDS_246,Bình Dương,Nhà mặt phố,59,1,Chính Nam,10,2025,7.8
BDS_247,TP. Hồ Chí Minh,Đất nền,197,2,Tây Nam,4,2025,24.3
BDS_248,Bình Dương,Nhà mặt phố,207,2,Chính Nam,3,2025,21.65
BDS_249,Bình Dương,Nhà mặt phố,229,5,Tây Nam,6,2024,24.22
BDS_250,Đà Nẵng,Chung cư,50,2,Tây Bắc,3,2026,1.32
BDS_251,Hà Nội,Biệt thự,320,1,Tây Nam,9,2025,69.71
BDS_252,Hà Nội,Đất nền,153,5,Tây Nam,1,2026,21.62
BDS_253,Đà Nẵng,Chung cư,158,4,Tây Nam,3,2026,9.11
BDS_254,Hà Nội,Nhà mặt phố,60,2,Chính Nam,4,2024,11.14
BDS_255,Hà Nội,Chung cư,88,5,Đông Nam,5,2025,7.02
BDS_256,TP. Hồ Chí Minh,Nhà mặt phố,259,3,Tây Bắc,7,2024,26.2
BDS_257,Bình Dương,Biệt thự,47,4,Tây Bắc,1,2025,7.12
BDS_258,TP. Hồ Chí Minh,Chung cư,322,3,Tây Nam,12,2025,19.54
BDS_259,TP. Hồ Chí Minh,Biệt thự,150,5,Chính Đông,2,2025,27.26
BDS_260,Hà Nội,Chung cư,167,2,Chính Nam,12,2025,12.92
BDS_261,TP. Hồ Chí Minh,Nhà mặt phố,334,1,Tây Nam,3,2026,59.41
BDS_262,Bình Dương,Nhà mặt phố,308,4,Tây Nam,3,2026,27.65
BDS_263,Hà Nội,Chung cư,48,5,Tây Bắc,8,2025,2.6
BDS_264,TP. Hồ Chí Minh,Nhà mặt phố,327,2,Chính Nam,5,2024,63.12
BDS_265,Đà Nẵng,Đất nền,251,5,Chính Nam,5,2026,13.24
BDS_266,TP. Hồ Chí Minh,Chung cư,326,1,Tây Bắc,2,2026,15.11
BDS_267,TP. Hồ Chí Minh,Chung cư,219,4,Đông Nam,3,2026,12.8
BDS_268,TP. Hồ Chí Minh,Nhà mặt phố,328,5,Tây Bắc,4,2025,66.5
BDS_269,Hà Nội,Đất nền,239,2,Chính Đông,1,2024,22.88
BDS_270,Hà Nội,Biệt thự,296,2,Tây Bắc,5,2024,36.48
BDS_271,Đà Nẵng,Chung cư,159,5,Chính Đông,5,2026,8.14
BDS_272,Đà Nẵng,Biệt thự,121,1,Chính Đông,2,2024,23.18
BDS_273,Đà Nẵng,Nhà mặt phố,53,2,Tây Nam,3,2026,3.36
BDS_274,Thái Nguyên,Chung cư,106,1,Chính Đông,12,2025,1.74
BDS_275,TP. Hồ Chí Minh,Biệt thự,172,2,Đông Nam,11,2025,48.29
BDS_276,TP. Hồ Chí Minh,Chung cư,242,3,Chính Nam,3,2026,13.86
BDS_277,TP. Hồ Chí Minh,Đất nền,132,1,Đông Nam,3,2026,9.09
BDS_278,TP. Hồ Chí Minh,Đất nền,31,1,Đông Nam,5,2025,3.03
BDS_279,TP. Hồ Chí Minh,Nhà mặt phố,167,4,Tây Nam,6,2024,22.11
BDS_280,TP. Hồ Chí Minh,Nhà mặt phố,239,5,Tây Bắc,3,2026,42.05
BDS_281,Thái Nguyên,Nhà mặt phố,208,5,Chính Nam,11,2025,9.27
BDS_282,Hà Nội,Chung cư,269,1,Chính Đông,8,2024,10.16
BDS_283,Hà Nội,Đất nền,105,4,Chính Nam,12,2024,10.7
BDS_284,Hà Nội,Biệt thự,303,3,Tây Nam,3,2026,54.72
BDS_285,TP. Hồ Chí Minh,Nhà mặt phố,146,4,Chính Nam,3,2026,27.23
BDS_286,Hà Nội,Biệt thự,224,2,Đông Nam,3,2024,36.13
BDS_287,TP. Hồ Chí Minh,Nhà mặt phố,305,5,Chính Nam,8,2025,31.35
BDS_288,TP. Hồ Chí Minh,Nhà mặt phố,320,4,Tây Bắc,6,2024,57.45
BDS_289,Hà Nội,Nhà mặt phố,123,5,Tây Nam,10,2024,10.1
BDS_290,TP. Hồ Chí Minh,Chung cư,300,4,Tây Nam,11,2024,22.51
BDS_291,Hà Nội,Biệt thự,175,2,Tây Nam,3,2026,44.17
BDS_292,Hà Nội,Đất nền,345,1,Đông Nam,8,2024,36.02
BDS_293,Đà Nẵng,Đất nền,39,1,Tây Bắc,6,2025,2.77
BDS_294,Hà Nội,Nhà mặt phố,72,2,Đông Nam,2,2025,11.16
BDS_295,Hà Nội,Đất nền,133,1,Chính Đông,5,2024,11.05
BDS_296,TP. Hồ Chí Minh,Nhà mặt phố,327,4,Tây Bắc,1,2025,53.53
BDS_297,TP. Hồ Chí Minh,Nhà mặt phố,313,5,Tây Bắc,12,2024,30.04
BDS_298,Hà Nội,Biệt thự,86,2,Tây Bắc,2,2025,25.96
BDS_299,TP. Hồ Chí Minh,Nhà mặt phố,254,5,Tây Nam,6,2024,27.63
BDS_300,Hà Nội,Nhà mặt phố,238,4,Tây Bắc,8,2024,29.27
BDS_301,Hà Nội,Chung cư,170,2,Chính Đông,1,2025,12.99
BDS_302,TP. Hồ Chí Minh,Biệt thự,48,5,Chính Nam,7,2024,10.58
BDS_303,TP. Hồ Chí Minh,Chung cư,68,4,Tây Bắc,10,2024,4.5
BDS_304,TP. Hồ Chí Minh,Chung cư,108,4,Tây Bắc,2,2026,7.34
BDS_305,TP. Hồ Chí Minh,Chung cư,322,1,Tây Nam,4,2026,13.09
BDS_306,Bình Dương,Nhà mặt phố,296,4,Đông Nam,7,2025,24.0
BDS_307,TP. Hồ Chí Minh,Chung cư,126,3,Chính Đông,3,2026,5.21
BDS_308,Hà Nội,Đất nền,233,5,Đông Nam,12,2024,25.23
BDS_309,TP. Hồ Chí Minh,Chung cư,238,4,Chính Đông,6,2025,11.38
BDS_310,Hà Nội,Đất nền,215,2,Chính Nam,7,2024,24.8
BDS_311,TP. Hồ Chí Minh,Chung cư,205,4,Tây Nam,1,2025,10.79
BDS_312,Hà Nội,Chung cư,76,2,Tây Bắc,3,2026,3.21
BDS_313,Hà Nội,Đất nền,339,1,Chính Nam,5,2024,34.77
BDS_314,Bình Dương,Chung cư,176,1,Tây Bắc,10,2024,5.47
BDS_315,Đà Nẵng,Chung cư,148,4,Đông Nam,4,2024,7.61
BDS_316,TP. Hồ Chí Minh,Biệt thự,349,3,Tây Nam,3,2024,89.37
BDS_317,TP. Hồ Chí Minh,Chung cư,95,1,Đông Nam,4,2025,7.57
BDS_318,Hà Nội,Chung cư,45,3,Chính Đông,2,2026,2.08
BDS_319,Hà Nội,Chung cư,330,1,Tây Nam,11,2025,11.75
